0,0
1,0
2,0
3,4
4,6
5,6
6,23
7,109
8,307
9,469
10,599
11,612
12,591
13,753
14,700
15,701
16,682
17,699
18,751
19,815
20,668
21,592
22,487
23,476
24,530
25,485
26,455
27,413
28,419
29,463
30,433
31,439
32,468
33,456
34,427
35,385
36,376
37,352
38,352
39,366
40,302
41,328
42,331
43,328
44,327
45,335
46,300
47,313
48,313
49,352
50,299
51,309
52,324
53,335
54,320
55,289
56,346
57,314
58,333
59,372
60,392
61,387
62,393
63,337
64,307
65,338
66,281
67,245
68,225
69,260
70,237
71,212
72,244
73,236
74,209
75,234
76,204
77,251
78,229
79,203
80,242
81,237
82,253
83,237
84,231
85,228
86,241
87,210
88,219
89,255
90,214
91,226
92,239
93,238
94,206
95,238
96,224
97,222
98,202
99,237
100,210
101,196
102,189
103,180
104,206
105,192
106,201
107,170
108,171
109,175
110,167
111,206
112,171
113,159
114,165
115,144
116,169
117,158
118,165
119,152
120,161
121,168
122,173
123,148
124,164
125,149
126,135
127,154
128,151
129,155
130,177
131,155
132,114
133,151
134,154
135,152
136,158
137,147
138,159
139,148
140,146
141,147
142,161
143,166
144,165
145,139
146,170
147,154
148,180
149,179
150,175
151,167
152,193
153,198
154,210
155,188
156,218
157,197
158,203
159,226
160,195
161,241
162,232
163,217
164,203
165,215
166,240
167,233
168,235
169,270
170,294
171,298
172,306
173,334
174,390
175,337
176,385
177,371
178,364
179,450
180,441
181,451
182,470
183,521
184,494
185,654
186,678
187,656
188,536
189,486
190,474
191,491
192,483
193,487
194,495
195,520
196,502
197,571
198,587
199,511
200,563
201,536
202,559
203,622
204,645
205,520
206,543
207,477
208,488
209,458
210,419
211,392
212,476
213,472
214,511
215,532
216,574
217,602
218,620
219,619
220,590
221,553
222,528
223,531
224,573
225,581
226,557
227,539
228,505
229,547
230,532
231,515
232,485
233,496
234,618
235,718
236,701
237,698
238,878
239,937
240,676
241,740
242,827
243,911
244,971
245,1037
246,1165
247,1241
248,1234
249,1177
250,1140
251,1659
252,1977
253,2053
254,3814
255,113187
